location,location_town,first_rental_day,return_date,gear_name,price
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Skiboots premium,26.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Skiboots economy,18.0
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Alpine touring ski boots,22.5
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Touring Set Premium,53.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Touring Ski Premium,53.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Jacket / Pants,53.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Skiing jacket adult,39.6
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Skiing pants adult,22.5
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Snowboard premium,53.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Snowboard Economy,44.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Snowboardboots premium,26.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Snowboard boots economy,18.0
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Nordic Set Skating,44.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Nordic Set Classic,35.1
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Helmet,12.6
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Snowshoes,18.0
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-15,Sledges,18.0
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Ski set Premium,153.0
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Ski set Economy,111.6
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Ski Exclusive,121.5
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Ski Premium,93.6
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Ski Economy,77.4
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Skiboots premium,43.2
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Skiboots economy,34.2
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Alpine touring ski boots,40.5
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Touring Ski Premium,93.6
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Touring Set Premium,93.6
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Jacket / Pants,93.6
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Skiing jacket adult,72.0
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Skiing pants adult,40.5
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Snowboard premium,93.6
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Snowboard Economy,77.4
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Snowboardboots premium,43.2
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Snowboard boots economy,34.2
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Nordic Set Classic,54.0
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Nordic Set Skating,77.4
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Helmet,19.8
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Snowshoes,23.4
Silvaplana – Graubünden,Silvaplana,2023-12-15,2023-12-16,Sledges,23.4
