Les Breuleux ,2023-12-15,2023-12-17,Cancellation option,With the cancellation option you can cancel your reservation until 12.00 the day before.__You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Les Breuleux ,2023-12-15,2023-12-17,Snowboard Budget,Perfect for beginners__Tolerant for failures__Stable Board__Type according to availability;,CHF 67.50
Les Breuleux ,2023-12-15,2023-12-17,Snowboard boots economy,Easy entry & exit__Safe stand__Best processing__Type according to availability;,CHF 33.30
Les Breuleux ,2023-12-15,2023-12-17,Helmet,Perfect fitting comfort__Perfect protection__Checked for safety__Type according to availability;,CHF 18.00
Les Prés d'Orvin ,2023-12-15,2023-12-15,Ski Exclusive,Highest Quality & innovative technology__Direct power transmission__Power for sporting descents__Type according to availability;,CHF 53.10
Les Prés d'Orvin ,2023-12-15,2023-12-15,Ski Test,rent the newest models to test__Models can be changed as often as desired on the day of rental;,CHF 57.60
Les Prés d'Orvin ,2023-12-15,2023-12-15,Ski Premium,For sporty bargain hunters__A ton of fun on the slopes__Type according to availability;,CHF 53.10
Les Prés d'Orvin ,2023-12-15,2023-12-15,Ski Economy,For the price-conscious__Type according to availability;,CHF 37.80
Les Prés d'Orvin ,2023-12-15,2023-12-15,Ski Budget,Type according to availability;,CHF 27.00
Les Prés d'Orvin ,2023-12-15,2023-12-15,Skiboots premium,Direct force transmission__High Comfort & perfect Footing__Better Performance__Type according to availability;,CHF 17.10
Les Prés d'Orvin ,2023-12-15,2023-12-15,Skiboots economy,Allround ski boot__Comfortable wearing__Excellent driving performance__Type according to availability;,CHF 14.40
Les Prés d'Orvin ,2023-12-15,2023-12-15,Touring Ski exklusiv,Type according to availability__incl. skins and poles;,CHF 53.10
Les Prés d'Orvin ,2023-12-15,2023-12-15,Cancellation option,With the cancellation option you can cancel your reservation until 12.00 the day before.__You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Les Prés d'Orvin ,2023-12-15,2023-12-15,Snowboard Budget,Perfect for beginners__Tolerant for failures__Stable Board__Type according to availability;,CHF 27.90
Les Prés d'Orvin ,2023-12-15,2023-12-15,Snowboard boots economy,Easy entry & exit__Safe stand__Best processing__Type according to availability;,CHF 14.40
Les Prés d'Orvin ,2023-12-15,2023-12-15,Helmet,Perfect fitting comfort__Perfect protection__Checked for safety__Type according to availability;,CHF 8.10
Les Prés d'Orvin ,2023-12-15,2023-12-16,Ski Exclusive,Highest Quality & innovative technology__Direct power transmission__Power for sporting descents__Type according to availability;,CHF 95.40
Les Prés d'Orvin ,2023-12-15,2023-12-16,Ski Test,rent the newest models to test__Models can be changed as often as desired on the day of rental;,CHF 104.40
Les Prés d'Orvin ,2023-12-15,2023-12-16,Ski Premium,For sporty bargain hunters__A ton of fun on the slopes__Type according to availability;,CHF 95.40
Les Prés d'Orvin ,2023-12-15,2023-12-16,Ski Economy,For the price-conscious__Type according to availability;,CHF 72.00
Les Prés d'Orvin ,2023-12-15,2023-12-16,Ski Budget,Type according to availability;,CHF 50.40
Les Prés d'Orvin ,2023-12-15,2023-12-16,Skiboots premium,Direct force transmission__High Comfort & perfect Footing__Better Performance__Type according to availability;,CHF 32.40
Les Prés d'Orvin ,2023-12-15,2023-12-16,Skiboots economy,Allround ski boot__Comfortable wearing__Excellent driving performance__Type according to availability;,CHF 27.00
Les Prés d'Orvin ,2023-12-15,2023-12-16,Touring Ski exklusiv,Type according to availability__incl. skins and poles;,CHF 95.40
Les Prés d'Orvin ,2023-12-15,2023-12-16,Cancellation option,With the cancellation option you can cancel your reservation until 12.00 the day before.__You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Les Prés d'Orvin ,2023-12-15,2023-12-16,Snowboard Budget,Perfect for beginners__Tolerant for failures__Stable Board__Type according to availability;,CHF 54.00
Les Prés d'Orvin ,2023-12-15,2023-12-16,Snowboard boots economy,Easy entry & exit__Safe stand__Best processing__Type according to availability;,CHF 27.00
Les Prés d'Orvin ,2023-12-15,2023-12-16,Helmet,Perfect fitting comfort__Perfect protection__Checked for safety__Type according to availability;,CHF 14.40
Les Prés d'Orvin ,2023-12-15,2023-12-17,Ski Exclusive,Highest Quality & innovative technology__Direct power transmission__Power for sporting descents__Type according to availability;,CHF 121.50
Les Prés d'Orvin ,2023-12-15,2023-12-17,Ski Test,rent the newest models to test__Models can be changed as often as desired on the day of rental;,CHF 133.20
Les Prés d'Orvin ,2023-12-15,2023-12-17,Ski Premium,For sporty bargain hunters__A ton of fun on the slopes__Type according to availability;,CHF 121.50
Les Prés d'Orvin ,2023-12-15,2023-12-17,Ski Economy,For the price-conscious__Type according to availability;,CHF 90.00
Les Prés d'Orvin ,2023-12-15,2023-12-17,Ski Budget,Type according to availability;,CHF 63.90
Les Prés d'Orvin ,2023-12-15,2023-12-17,Skiboots premium,Direct force transmission__High Comfort & perfect Footing__Better Performance__Type according to availability;,CHF 42.30
Les Prés d'Orvin ,2023-12-15,2023-12-17,Skiboots economy,Allround ski boot__Comfortable wearing__Excellent driving performance__Type according to availability;,CHF 33.30
Les Prés d'Orvin ,2023-12-15,2023-12-17,Touring Ski exklusiv,Type according to availability__incl. skins and poles;,CHF 121.50
Les Prés d'Orvin ,2023-12-15,2023-12-17,Cancellation option,With the cancellation option you can cancel your reservation until 12.00 the day before.__You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Les Prés d'Orvin ,2023-12-15,2023-12-17,Snowboard Budget,Perfect for beginners__Tolerant for failures__Stable Board__Type according to availability;,CHF 67.50
Les Prés d'Orvin ,2023-12-15,2023-12-17,Snowboard boots economy,Easy entry & exit__Safe stand__Best processing__Type according to availability;,CHF 33.30
Les Prés d'Orvin ,2023-12-15,2023-12-17,Helmet,Perfect fitting comfort__Perfect protection__Checked for safety__Type according to availability;,CHF 18.00
Schwyz ,2023-12-15,2023-12-15,Ski Exclusive,Highest Quality & innovative technology__Direct power transmission__Power for sporting descents__Type according to availability;,CHF 45.00
Schwyz ,2023-12-15,2023-12-15,Ski Economy,For the price-conscious__Type according to availability;,CHF 40.00
Schwyz ,2023-12-15,2023-12-15,Skiboots economy,Allround ski boot__Comfortable wearing__Excellent driving performance__Type according to availability;,CHF 15.00
Schwyz ,2023-12-15,2023-12-15,Alpine touring ski boots,Type according to availability;,CHF 20.00
Schwyz ,2023-12-15,2023-12-15,Touring Ski exklusiv,Type according to availability__incl. skins and poles;,CHF 45.00
Schwyz ,2023-12-15,2023-12-15,Split Board,Top Performance__Type according to availability;,CHF 75.00
