location,location_town,first_rental_day,return_date,gear_name,price,rental_duration,price_per_day,gear_class
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Snowboard Economy,86.4,3,28.8,snowboard
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Snowboard boots economy,42.3,3,14.1,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Snowshoes,42.3,3,14.1,clothes
Laax – Graubünden,Laax,2023-12-15,2023-12-17,Helmet,18.9,3,6.3,helmet
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Ski Exclusive,49.5,1,49.5,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Ski Premium,34.2,1,34.2,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Telemark Ski Premium,49.5,1,49.5,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Ski Test,58.5,1,58.5,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Skiboots premium,17.1,1,17.1,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Alpine touring ski boots,20.7,1,20.7,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Telemark skiboots,20.7,1,20.7,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Touring Ski exklusiv,49.5,1,49.5,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Skiing jacket adult,17.1,1,17.1,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Skiing pants adult,17.1,1,17.1,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Snowboard exclusive,49.5,1,49.5,snowboard
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Snowboard premium,34.2,1,34.2,snowboard
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Snowboardboots premium,17.1,1,17.1,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Toboggan,17.1,1,17.1,sledge
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Helmet,10.8,1,10.8,helmet
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Skating shoes,8.1,1,8.1,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-15,Snowshoes,17.1,1,17.1,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Ski Exclusive,86.4,2,43.2,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Ski Premium,64.8,2,32.4,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Telemark Ski Premium,86.4,2,43.2,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Ski Test,102.6,2,51.3,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Skiboots premium,32.4,2,16.2,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Telemark skiboots,39.6,2,19.8,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Alpine touring ski boots,39.6,2,19.8,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Touring Ski exklusiv,86.4,2,43.2,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Skiing jacket adult,32.4,2,16.2,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Skiing pants adult,32.4,2,16.2,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Snowboard exclusive,86.4,2,43.2,snowboard
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Snowboard premium,64.8,2,32.4,snowboard
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Snowboardboots premium,32.4,2,16.2,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Toboggan,32.4,2,16.2,sledge
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Helmet,20.7,2,10.35,helmet
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Skating shoes,15.3,2,7.65,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-16,Snowshoes,32.4,2,16.2,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Ski Exclusive,121.5,3,40.5,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Ski Premium,89.1,3,29.7,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Telemark Ski Premium,121.5,3,40.5,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Ski Test,144.0,3,48.0,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Skiboots premium,45.0,3,15.0,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Telemark skiboots,48.6,3,16.2,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Alpine touring ski boots,54.0,3,18.0,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Touring Ski exklusiv,121.5,3,40.5,ski
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Skiing jacket adult,45.0,3,15.0,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Skiing pants adult,45.0,3,15.0,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Snowboard exclusive,121.5,3,40.5,snowboard
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Snowboard premium,89.1,3,29.7,snowboard
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Snowboardboots premium,42.3,3,14.1,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Toboggan,45.0,3,15.0,sledge
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Helmet,27.9,3,9.299999999999999,helmet
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Skating shoes,21.6,3,7.2,clothes
St-Luc – Valais,St-Luc,2023-12-15,2023-12-17,Snowshoes,45.0,3,15.0,clothes
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Ski Premium,49.5,1,49.5,ski
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Ski Economy,39.6,1,39.6,ski
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Skiboots premium,22.5,1,22.5,clothes
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Snowboard premium,49.5,1,49.5,snowboard
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Snowboard Economy,39.6,1,39.6,snowboard
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Snowboardboots premium,22.5,1,22.5,clothes
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Helmet,9.0,1,9.0,helmet
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-15,Sledges,12.6,1,12.6,sledge
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Ski Premium,89.1,2,44.55,ski
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Ski Economy,72.0,2,36.0,ski
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Skiboots premium,40.5,2,20.25,clothes
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Snowboard premium,89.1,2,44.55,snowboard
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Snowboard Economy,72.0,2,36.0,snowboard
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Snowboardboots premium,40.5,2,20.25,clothes
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Helmet,16.2,2,8.1,helmet
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-16,Sledges,20.7,2,10.35,sledge
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Ski Premium,116.1,3,38.699999999999996,ski
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Ski Economy,89.1,3,29.7,ski
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Skiboots premium,56.7,3,18.900000000000002,clothes
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Snowboard premium,116.1,3,38.699999999999996,snowboard
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Snowboard Economy,89.1,3,29.7,snowboard
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Snowboardboots premium,56.7,3,18.900000000000002,clothes
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Helmet,22.5,3,7.5,helmet
St. Moritz – Graubünden,St. Moritz,2023-12-15,2023-12-17,Sledges,26.1,3,8.700000000000001,sledge
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Ski Premium,53.1,1,53.1,ski
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Ski Economy,47.7,1,47.7,ski
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Ski Budget,39.6,1,39.6,ski
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Skiboots premium,16.2,1,16.2,clothes
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Skiboots economy,16.2,1,16.2,clothes
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Snowboard Economy,47.7,1,47.7,snowboard
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Snowboard Budget,39.6,1,39.6,snowboard
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Snowboard boots economy,16.2,1,16.2,clothes
Arosa – Graubünden,Arosa,2023-12-15,2023-12-15,Helmet,7.2,1,7.2,helmet
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Ski Premium,84.6,2,42.3,ski
Arosa – Graubünden,Arosa,2023-12-15,2023-12-16,Ski Economy,77.4,2,38.7,ski
